Date,Price,Open,High,Low,Vol,Change %
"Feb 03, 2025",108.95,108.88,109.48,108.67,2.89M,0.10
"Feb 04, 2025",109.20,108.86,109.23,108.64,1.92M,0.23
"Feb 05, 2025",109.75,109.17,109.91,109.08,2.38M,0.50
"Feb 06, 2025",109.58,109.75,109.78,109.44,1.96M,-0.16
"Feb 07, 2025",109.23,109.58,110.00,109.03,2.47M,-0.31
"Feb 10, 2025",109.22,109.17,109.42,109.08,1.39M,-0.01
"Feb 11, 2025",108.95,109.19,109.30,108.88,1.28M,-0.24
"Feb 12, 2025",108.27,108.95,109.16,108.13,2.92M,-0.63
"Feb 13, 2025",108.97,108.34,109.03,108.31,2.75M,0.65
"Feb 14, 2025",109.31,108.92,109.48,108.81,1.93M,0.32
"Feb 18, 2025",108.84,109.27,109.34,108.73,1.89M,-0.43
"Feb 19, 2025",108.95,108.80,109.00,108.67,2.64M,0.10
"Feb 20, 2025",109.17,108.95,109.25,108.95,2.33M,0.20
"Feb 21, 2025",109.69,109.13,109.75,109.11,3.72M,0.47
"Feb 24, 2025",109.88,109.55,109.91,109.42,4.59M,0.17
"Feb 25, 2025",110.52,109.81,110.63,109.81,5.60M,0.58
"Feb 26, 2025",110.84,110.52,110.88,110.25,2.20M,0.30
"Feb 27, 2025",110.61,110.77,110.86,110.42,456.33K,-0.21
"Feb 28, 2025",111.06,110.77,111.25,110.70,46.35K,0.41
"Mar 03, 2025",111.38,110.98,111.59,110.83,24.90K,0.28
"Mar 04, 2025",111.92,111.66,111.95,111.38,12.19K,0.49
