direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
greenFont,"Mar 04, 2025",1741046400,2025-03-04T00:00:00Z,111.92,111.66,111.95,111.38,12.19K,12191,0.49,111.91999816894531,111.66000366210938,111.95312500000000,111.37500000000000,0.4893361786265432
greenFont,"Mar 03, 2025",1740960000,2025-03-03T00:00:00Z,111.38,110.98,111.59,110.83,24.90K,24895,0.28,111.37500000000000,110.98437500000000,111.59375000000000,110.82812500000000,0.28137310073157007
greenFont,"Feb 28, 2025",1740700800,2025-02-28T00:00:00Z,111.06,110.77,111.25,110.70,46.35K,46352,0.41,111.06250000000000,110.76562500000000,111.25000000000000,110.70312500000000,0.40966238169232944
redFont,"Feb 27, 2025",1740614400,2025-02-27T00:00:00Z,110.61,110.77,110.86,110.42,456.33K,456329,-0.21,110.60937500000000,110.76562500000000,110.85937500000000,110.42187500000000,-0.211446292641669
greenFont,"Feb 26, 2025",1740528000,2025-02-26T00:00:00Z,110.84,110.52,110.88,110.25,2.20M,2201257,0.30,110.84375000000000,110.51562500000000,110.87500000000000,110.25000000000000,0.29690371836561574
greenFont,"Feb 25, 2025",1740441600,2025-02-25T00:00:00Z,110.52,109.81,110.63,109.81,5.60M,5598071,0.58,110.51562500000000,109.81250000000000,110.62500000000000,109.81250000000000,0.5830489192263937
greenFont,"Feb 24, 2025",1740355200,2025-02-24T00:00:00Z,109.88,109.55,109.91,109.42,4.59M,4588117,0.17,109.87500000000000,109.54687500000000,109.90625000000000,109.42187500000000,0.17094017094017094
greenFont,"Feb 21, 2025",1740096000,2025-02-21T00:00:00Z,109.69,109.13,109.75,109.11,3.72M,3716810,0.47,109.68750000000000,109.12500000000000,109.75000000000000,109.10937500000000,0.47230571060541005
greenFont,"Feb 20, 2025",1740009600,2025-02-20T00:00:00Z,109.17,108.95,109.25,108.95,2.33M,2332461,0.20,109.17187500000000,108.95312500000000,109.25000000000000,108.95312500000000,0.2007744156030403
greenFont,"Feb 19, 2025",1739923200,2025-02-19T00:00:00Z,108.95,108.80,109.00,108.67,2.64M,2635841,0.10,108.95312500000000,108.79687500000000,109.00000000000000,108.67187500000000,0.10048808498420901
redFont,"Feb 18, 2025",1739836800,2025-02-18T00:00:00Z,108.84,109.27,109.34,108.73,1.89M,1889269,-0.43,108.84375000000000,109.26562500000000,109.34375000000000,108.73437500000000,-0.4288164665523156
greenFont,"Feb 14, 2025",1739491200,2025-02-14T00:00:00Z,109.31,108.92,109.48,108.81,1.93M,1931357,0.32,109.31250000000000,108.92187500000000,109.48437500000000,108.81250000000000,0.31545741324921134
greenFont,"Feb 13, 2025",1739404800,2025-02-13T00:00:00Z,108.97,108.34,109.03,108.31,2.75M,2747968,0.65,108.96875000000000,108.34375000000000,109.03125000000000,108.31250000000000,0.6494443642661278
redFont,"Feb 12, 2025",1739318400,2025-02-12T00:00:00Z,108.27,108.95,109.16,108.13,2.92M,2918349,-0.63,108.26562500000000,108.95312500000000,109.15625000000000,108.12500000000000,-0.6310053061809838
redFont,"Feb 11, 2025",1739232000,2025-02-11T00:00:00Z,108.95,109.19,109.30,108.88,1.28M,1280172,-0.24,108.95312500000000,109.18750000000000,109.29687500000000,108.87500000000000,-0.24320457796852646
redFont,"Feb 10, 2025",1739145600,2025-02-10T00:00:00Z,109.22,109.17,109.42,109.08,1.39M,1385561,-0.01,109.21875000000000,109.17187500000000,109.42187500000000,109.07812500000000,-0.014304105278214848
redFont,"Feb 07, 2025",1738886400,2025-02-07T00:00:00Z,109.23,109.58,110.00,109.03,2.47M,2465327,-0.31,109.23437500000000,109.57812500000000,110.00000000000000,109.03125000000000,-0.31370312277199486
redFont,"Feb 06, 2025",1738800000,2025-02-06T00:00:00Z,109.58,109.75,109.78,109.44,1.96M,1964724,-0.16,109.57812500000000,109.75000000000000,109.78125000000000,109.43750000000000,-0.15660592255125286
greenFont,"Feb 05, 2025",1738713600,2025-02-05T00:00:00Z,109.75,109.17,109.91,109.08,2.38M,2376219,0.50,109.75000000000000,109.17187500000000,109.90625000000000,109.07812500000000,0.5007869509228788
greenFont,"Feb 04, 2025",1738627200,2025-02-04T00:00:00Z,109.20,108.86,109.23,108.64,1.92M,1922171,0.23,109.20312500000000,108.85937500000000,109.23437500000000,108.64062500000000,0.2294564749749032
greenFont,"Feb 03, 2025",1738540800,2025-02-03T00:00:00Z,108.95,108.88,109.48,108.67,2.89M,2890747,0.10,108.95312500000000,108.87500000000000,109.48437500000000,108.67187500000000,0.10048808498420901
