direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
greenFont,Mar 2025,1740787200,2025-03-01T00:00:00Z,111.94,111.02,111.95,110.83,37.09K,37088,0.79,111.93750000000000,111.01562500000000,111.95312500000000,110.82812500000000,0.7901156678337685
greenFont,Feb 2025,1738368000,2025-02-01T00:00:00Z,111.06,108.88,111.25,108.12,45.35M,45347104,2.04,111.05999755859375,108.87999725341797,111.25000000000000,108.12000274658203,2.0396924801533394
greenFont,Jan 2025,1735689600,2025-01-01T00:00:00Z,108.84,108.78,109.41,107.19,40.59M,40593904,0.08,108.83999633789062,108.77999877929688,109.41000366210938,107.19000244140625,0.08275525323275862
redFont,Dec 2024,1733011200,2024-12-01T00:00:00Z,108.75,111.17,111.64,108.20,30.39M,30393448,-2.19,108.75000000000000,111.16999816894531,111.63999938964844,108.19999694824219,-2.1922428330522767
greenFont,Nov 2024,1730419200,2024-11-01T00:00:00Z,111.19,110.66,111.25,109.08,15.70M,15697404,0.47,111.18750000000000,110.65625000000000,111.25000000000000,109.07812500000000,0.46590427784836935
redFont,Oct 2024,1727740800,2024-10-01T00:00:00Z,110.67,114.80,115.38,110.38,39.25K,39254,-3.46,110.67187500000000,114.79687500000000,115.37500000000000,110.37500000000000,-3.461905410930898
greenFont,Sep 2024,1725148800,2024-09-01T00:00:00Z,114.64,114.31,116.06,114.31,0.71K,707,0.95,114.64062500000000,114.31250000000000,116.06250000000000,114.31250000000000,0.9515916384628986
greenFont,Aug 2024,1722470400,2024-08-01T00:00:00Z,113.56,112.64,115.59,112.56,19.49M,19492248,1.15,113.55999755859375,112.63999938964844,115.58999633789062,112.55999755859375,1.1490166153906374
greenFont,Jul 2024,1719792000,2024-07-01T00:00:00Z,112.27,110.00,112.80,109.47,30.24K,30243,1.70,112.26999664306641,110.00000000000000,112.80000305175781,109.47000122070312,1.7030503340996133
greenFont,Jun 2024,1717200000,2024-06-01T00:00:00Z,110.39,109.55,111.41,109.50,1.59K,1588,1.46,110.38999938964844,109.55000305175781,111.41000366210938,109.50000000000000,1.4613936519231894
greenFont,May 2024,1714521600,2024-05-01T00:00:00Z,108.80,107.69,110.28,107.66,17.60M,17603412,1.05,108.80000305175781,107.69000244140625,110.27999877929688,107.66000366210938,1.049507664186458
redFont,Apr 2024,1711929600,2024-04-01T00:00:00Z,107.67,111.28,111.28,107.39,21.32K,21324,-3.15,107.66999816894531,111.27999877929688,111.27999877929688,107.38999938964844,-3.1483314362217056
greenFont,Mar 2024,1709251200,2024-03-01T00:00:00Z,111.17,110.86,112.78,110.27,1.61K,1605,0.66,111.16999816894531,110.86000061035156,112.77999877929688,110.26999664306641,0.6609885108671203
redFont,Feb 2024,1706745600,2024-02-01T00:00:00Z,110.44,113.20,113.89,109.80,18.89M,18894322,-2.24,110.44000244140625,113.19999694824219,113.88999938964844,109.80000305175781,-2.239531514524957
redFont,Jan 2024,1704067200,2024-01-01T00:00:00Z,112.97,113.44,113.44,111.44,44.51K,44510,-0.57,112.97000122070312,113.44000244140625,113.44000244140625,111.44000244140625,-0.572083709000315
greenFont,Dec 2023,1701388800,2023-12-01T00:00:00Z,113.62,110.81,113.98,110.67,3.56K,3562,3.48,113.62000274658203,110.80999755859375,113.98000335693359,110.66999816894531,3.479052448681206
greenFont,Nov 2023,1698796800,2023-11-01T00:00:00Z,109.80,106.19,110.48,106.16,17.89M,17894758,3.15,109.80000305175781,106.19000244140625,110.48000335693359,106.16000366210938,3.147023202963975
redFont,Oct 2023,1696118400,2023-10-01T00:00:00Z,106.45,108.16,108.75,105.67,19.32K,19323,-1.86,106.44999694824219,108.16000366210938,108.75000000000000,105.66999816894531,-1.8622699822330133
redFont,Sep 2023,1693526400,2023-09-01T00:00:00Z,108.47,111.69,111.69,107.72,1.23K,1230,-2.31,108.47000122070312,111.69000244140625,111.69000244140625,107.72000122070312,-2.3056809751772223
redFont,Aug 2023,1690848000,2023-08-01T00:00:00Z,111.03,111.95,112.44,109.30,14.99M,14990113,-0.84,111.02999877929688,111.94999694824219,112.44000244140625,109.30000305175781,-0.8395127544505596
redFont,Jul 2023,1688169600,2023-07-01T00:00:00Z,111.97,112.70,114.09,110.88,35.22K,35220,-0.81,111.97000122070312,112.69999694824219,114.08999633789062,110.87999725341797,-0.8061623448412064
redFont,Jun 2023,1685577600,2023-06-01T00:00:00Z,112.88,114.56,114.56,112.50,1.10K,1101,-1.39,112.87999725341797,114.55999755859375,114.55999755859375,112.50000000000000,-1.3890136719921578
redFont,May 2023,1682899200,2023-05-01T00:00:00Z,114.47,116.16,117.80,112.92,14.74M,14744259,-1.34,114.47000122070312,116.16000366210938,117.80000305175781,112.91999816894531,-1.3359726488631236
greenFont,Apr 2023,1680307200,2023-04-01T00:00:00Z,116.02,115.50,117.59,114.69,28.77K,28772,0.35,116.01999664306641,115.50000000000000,117.58999633789062,114.69000244140625,0.35463716854105204
