Date,Price,Open,High,Low,Vol,Change %
"Mar 10, 2024",110.08,111.78,111.97,109.97,8.92M,-1.48
"Mar 17, 2024",110.75,110.03,110.88,109.77,7.79M,0.61
"Mar 24, 2024",110.80,110.86,110.98,110.36,5.75M,0.05
"Mar 31, 2024",109.66,110.80,110.91,109.30,10.60M,-1.03
"Apr 07, 2024",108.69,109.41,109.83,107.86,12.63M,-0.88
"Apr 14, 2024",107.91,108.67,108.70,107.42,12.97M,-0.72
"Apr 21, 2024",107.58,107.69,108.25,107.12,9.84M,-0.31
"Apr 28, 2024",108.86,107.58,109.30,107.39,11.47M,1.19
"May 05, 2024",108.70,108.78,109.28,108.61,7.95M,-0.15
"May 12, 2024",109.48,108.98,110.28,108.75,138.80K,0.72
"May 19, 2024",109.02,109.47,109.62,108.81,5.53M,-0.42
"May 26, 2024",108.80,109.11,109.22,107.97,11.84M,-0.20
"Jun 02, 2024",109.31,108.86,110.66,108.86,11.05M,0.47
"Jun 09, 2024",110.84,109.25,111.03,109.02,10.69M,1.40
"Jun 16, 2024",110.50,110.73,110.89,110.20,6.51M,-0.31
"Jun 23, 2024",109.98,110.45,110.78,109.61,9.73M,-0.47
"Jun 30, 2024",110.61,109.59,110.62,109.08,7.69M,0.57
"Jul 07, 2024",111.19,110.56,111.33,110.22,9.33M,0.52
"Jul 14, 2024",110.83,111.00,111.47,110.77,9.33M,-0.32
"Jul 21, 2024",111.20,110.94,111.27,110.58,10.36M,0.34
"Jul 28, 2024",114.14,111.23,114.25,111.20,14.35M,2.64
"Aug 04, 2024",112.95,114.17,115.11,112.52,13.23M,-1.04
"Aug 11, 2024",113.67,113.53,114.56,113.31,246.37K,0.64
"Aug 18, 2024",114.30,113.64,114.61,113.55,4.07M,0.55
"Aug 25, 2024",113.56,114.34,114.53,113.44,15.07M,-0.64
"Sep 01, 2024",115.02,113.53,115.41,113.38,10.66M,1.28
"Sep 08, 2024",115.42,114.97,115.73,114.63,10.29M,0.35
"Sep 15, 2024",114.84,115.41,115.67,114.50,9.90M,-0.50
"Sep 22, 2024",114.73,114.72,114.92,114.22,9.64M,-0.10
"Sep 29, 2024",112.84,114.73,115.02,112.81,11.97M,-1.65
"Oct 06, 2024",112.25,112.81,112.89,111.69,9.97M,-0.53
"Oct 13, 2024",112.22,112.09,112.69,111.72,7.46M,-0.03
"Oct 20, 2024",111.06,112.17,112.22,110.92,10.22M,-1.03
"Oct 27, 2024",110.03,110.95,111.20,109.86,13.71M,-0.93
"Nov 03, 2024",110.28,110.30,110.67,109.22,13.25M,0.23
"Nov 10, 2024",109.69,110.39,110.39,109.08,327.31K,-0.54
"Nov 17, 2024",109.81,109.56,110.31,109.28,5.49M,0.11
"Nov 24, 2024",111.19,110.06,111.25,110.03,9.81M,1.25
"Dec 01, 2024",111.45,111.17,111.64,110.56,8.17M,0.24
"Dec 08, 2024",109.88,111.47,111.58,109.81,7.33M,-1.42
"Dec 15, 2024",108.97,109.88,110.11,108.52,8.89M,-0.82
"Dec 22, 2024",108.44,108.95,109.02,108.20,3.79M,-0.49
"Dec 29, 2024",108.64,108.44,109.19,108.38,4.86M,0.19
"Jan 05, 2025",107.39,108.59,108.80,107.36,9.54M,-1.15
"Jan 12, 2025",108.55,107.48,108.86,107.19,10.32M,1.08
"Jan 19, 2025",108.47,108.44,109.13,108.19,6.97M,-0.07
"Jan 26, 2025",108.84,108.52,109.41,108.50,11.14M,0.35
"Feb 02, 2025",109.23,108.88,110.00,108.64,11.62M,0.36
"Feb 09, 2025",109.31,109.17,109.48,108.12,10.26M,0.07
"Feb 16, 2025",109.69,109.27,109.75,108.67,10.57M,0.35
"Feb 23, 2025",111.06,109.55,111.25,109.42,12.89M,1.25
"Mar 02, 2025",111.94,111.02,111.95,110.83,37.09K,0.79
