direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
greenFont,"Mar 02, 2025",1740873600,2025-03-02T00:00:00Z,111.94,111.02,111.95,110.83,37.09K,37088,0.79,111.93750000000000,111.01562500000000,111.95312500000000,110.82812500000000,0.7901156678337685
greenFont,"Feb 23, 2025",1740268800,2025-02-23T00:00:00Z,111.06,109.55,111.25,109.42,12.89M,12890126,1.25,111.05999755859375,109.55000305175781,111.25000000000000,109.41999816894531,1.248969903086034
greenFont,"Feb 16, 2025",1739664000,2025-02-16T00:00:00Z,109.69,109.27,109.75,108.67,10.57M,10574381,0.35,109.69000244140625,109.26999664306641,109.75000000000000,108.66999816894531,0.3476396407463141
greenFont,"Feb 09, 2025",1739059200,2025-02-09T00:00:00Z,109.31,109.17,109.48,108.12,10.26M,10263407,0.07,109.30999755859375,109.16999816894531,109.48000335693359,108.12000274658203,0.06922963453011015
greenFont,"Feb 02, 2025",1738454400,2025-02-02T00:00:00Z,109.23,108.88,110.00,108.64,11.62M,11619188,0.36,109.23437500000000,108.87500000000000,110.00000000000000,108.64062500000000,0.35888601780074647
greenFont,"Jan 26, 2025",1737849600,2025-01-26T00:00:00Z,108.84,108.52,109.41,108.50,11.14M,11138023,0.35,108.84375000000000,108.51562500000000,109.40625000000000,108.50000000000000,0.34572169403630076
redFont,"Jan 19, 2025",1737244800,2025-01-19T00:00:00Z,108.47,108.44,109.13,108.19,6.97M,6970473,-0.07,108.46875000000000,108.43750000000000,109.12500000000000,108.18750000000000,-0.07197351374694112
greenFont,"Jan 12, 2025",1736640000,2025-01-12T00:00:00Z,108.55,107.48,108.86,107.19,10.32M,10315580,1.08,108.54687500000000,107.48437500000000,108.85937500000000,107.18750000000000,1.0766768514476939
redFont,"Jan 05, 2025",1736035200,2025-01-05T00:00:00Z,107.39,108.59,108.80,107.36,9.54M,9535370,-1.15,107.39062500000000,108.59375000000000,108.79687500000000,107.35937500000000,-1.1505824823817057
greenFont,"Dec 29, 2024",1735430400,2024-12-29T00:00:00Z,108.64,108.44,109.19,108.38,4.86M,4856824,0.19,108.64062500000000,108.43750000000000,109.18750000000000,108.37500000000000,0.1873198847262248
redFont,"Dec 22, 2024",1734825600,2024-12-22T00:00:00Z,108.44,108.95,109.02,108.20,3.79M,3785074,-0.49,108.43750000000000,108.95312500000000,109.01562500000000,108.20312500000000,-0.48752509320332665
redFont,"Dec 15, 2024",1734220800,2024-12-15T00:00:00Z,108.97,109.88,110.11,108.52,8.89M,8888423,-0.82,108.96875000000000,109.87500000000000,110.10937500000000,108.51562500000000,-0.8248009101251422
redFont,"Dec 08, 2024",1733616000,2024-12-08T00:00:00Z,109.88,111.47,111.58,109.81,7.33M,7328197,-1.42,109.87500000000000,111.46875000000000,111.57812500000000,109.81250000000000,-1.415954016542829
greenFont,"Dec 01, 2024",1733011200,2024-12-01T00:00:00Z,111.45,111.17,111.64,110.56,8.17M,8169387,0.24,111.45312500000000,111.17187500000000,111.64062500000000,110.56250000000000,0.2388982574480045
greenFont,"Nov 24, 2024",1732406400,2024-11-24T00:00:00Z,111.19,110.06,111.25,110.03,9.81M,9810519,1.25,111.18750000000000,110.06250000000000,111.25000000000000,110.03125000000000,1.2521343198634036
greenFont,"Nov 17, 2024",1731801600,2024-11-17T00:00:00Z,109.81,109.56,110.31,109.28,5.49M,5486273,0.11,109.81250000000000,109.56250000000000,110.31250000000000,109.28125000000000,0.11396011396011396
redFont,"Nov 10, 2024",1731196800,2024-11-10T00:00:00Z,109.69,110.39,110.39,109.08,327.31K,327305,-0.54,109.68750000000000,110.39062500000000,110.39062500000000,109.07812500000000,-0.5383961462170587
greenFont,"Nov 03, 2024",1730592000,2024-11-03T00:00:00Z,110.28,110.30,110.67,109.22,13.25M,13249325,0.23,110.28125000000000,110.29687500000000,110.67187500000000,109.21875000000000,0.2272081794944618
redFont,"Oct 27, 2024",1729987200,2024-10-27T00:00:00Z,110.03,110.95,111.20,109.86,13.71M,13711925,-0.93,110.03125000000000,110.95312500000000,111.20312500000000,109.85937500000000,-0.9285312324141812
redFont,"Oct 20, 2024",1729382400,2024-10-20T00:00:00Z,111.06,112.17,112.22,110.92,10.22M,10215616,-1.03,111.06250000000000,112.17187500000000,112.21875000000000,110.92187500000000,-1.0303536619326092
redFont,"Oct 13, 2024",1728777600,2024-10-13T00:00:00Z,112.22,112.09,112.69,111.72,7.46M,7455968,-0.03,112.21875000000000,112.09375000000000,112.68750000000000,111.71875000000000,-0.02783964365256125
redFont,"Oct 06, 2024",1728172800,2024-10-06T00:00:00Z,112.25,112.81,112.89,111.69,9.97M,9967963,-0.53,112.25000000000000,112.81250000000000,112.89062500000000,111.68750000000000,-0.5261700360011077
redFont,"Sep 29, 2024",1727568000,2024-09-29T00:00:00Z,112.84,114.73,115.02,112.81,11.97M,11968116,-1.65,112.84375000000000,114.73437500000000,115.01562500000000,112.81250000000000,-1.6478278632711425
redFont,"Sep 22, 2024",1726963200,2024-09-22T00:00:00Z,114.73,114.72,114.92,114.22,9.64M,9635908,-0.10,114.73437500000000,114.71875000000000,114.92187500000000,114.21875000000000,-0.09523809523809523
redFont,"Sep 15, 2024",1726358400,2024-09-15T00:00:00Z,114.84,115.41,115.67,114.50,9.90M,9901119,-0.50,114.84375000000000,115.40625000000000,115.67187500000000,114.50000000000000,-0.5008799241911466
greenFont,"Sep 08, 2024",1725753600,2024-09-08T00:00:00Z,115.42,114.97,115.73,114.63,10.29M,10288450,0.35,115.42187500000000,114.96875000000000,115.73437500000000,114.62500000000000,0.35321287868496126
greenFont,"Sep 01, 2024",1725148800,2024-09-01T00:00:00Z,115.02,113.53,115.41,113.38,10.66M,10656619,1.28,115.01562500000000,113.53125000000000,115.40625000000000,113.37500000000000,1.2795817281232802
redFont,"Aug 25, 2024",1724544000,2024-08-25T00:00:00Z,113.56,114.34,114.53,113.44,15.07M,15067953,-0.64,113.56250000000000,114.34375000000000,114.53125000000000,113.43750000000000,-0.6425153793574846
greenFont,"Aug 18, 2024",1723939200,2024-08-18T00:00:00Z,114.30,113.64,114.61,113.55,4.07M,4071527,0.55,114.29687500000000,113.64062500000000,114.60937500000000,113.54687500000000,0.5498281786941581
greenFont,"Aug 11, 2024",1723334400,2024-08-11T00:00:00Z,113.67,113.53,114.56,113.31,246.37K,246366,0.64,113.67187500000000,113.53125000000000,114.56250000000000,113.31250000000000,0.6363259095310555
redFont,"Aug 04, 2024",1722729600,2024-08-04T00:00:00Z,112.95,114.17,115.11,112.52,13.23M,13233673,-1.04,112.95312500000000,114.17187500000000,115.10937500000000,112.51562500000000,-1.0403832991101984
greenFont,"Jul 28, 2024",1722124800,2024-07-28T00:00:00Z,114.14,111.23,114.25,111.20,14.35M,14345032,2.64,114.14062500000000,111.23437500000000,114.25000000000000,111.20312500000000,2.64156245609105
greenFont,"Jul 21, 2024",1721520000,2024-07-21T00:00:00Z,111.20,110.94,111.27,110.58,10.36M,10361525,0.34,111.20312500000000,110.93750000000000,111.26562500000000,110.57812500000000,0.3366626028880593
redFont,"Jul 14, 2024",1720915200,2024-07-14T00:00:00Z,110.83,111.00,111.47,110.77,9.33M,9325272,-0.32,110.83000183105469,111.00000000000000,111.47000122070312,110.76999664306641,-0.32377066503013335
greenFont,"Jul 07, 2024",1720310400,2024-07-07T00:00:00Z,111.19,110.56,111.33,110.22,9.33M,9325044,0.52,111.19000244140625,110.55999755859375,111.33000183105469,110.22000122070312,0.5243665381558703
greenFont,"Jun 30, 2024",1719705600,2024-06-30T00:00:00Z,110.61,109.59,110.62,109.08,7.69M,7686618,0.57,110.61000061035156,109.58999633789062,110.62000274658203,109.08000183105469,0.5728289090639049
redFont,"Jun 23, 2024",1719100800,2024-06-23T00:00:00Z,109.98,110.45,110.78,109.61,9.73M,9732420,-0.47,109.98000335693359,110.44999694824219,110.77999877929688,109.61000061035156,-0.470585197345164
redFont,"Jun 16, 2024",1718496000,2024-06-16T00:00:00Z,110.50,110.73,110.89,110.20,6.51M,6511490,-0.31,110.50000000000000,110.73000335693359,110.88999938964844,110.19999694824219,-0.3067451724323067
greenFont,"Jun 09, 2024",1717891200,2024-06-09T00:00:00Z,110.84,109.25,111.03,109.02,10.69M,10689664,1.40,110.83999633789062,109.25000000000000,111.02999877929688,109.01999664306641,1.3996878725358541
greenFont,"Jun 02, 2024",1717286400,2024-06-02T00:00:00Z,109.31,108.86,110.66,108.86,11.05M,11050687,0.47,109.30999755859375,108.86000061035156,110.66000366210938,108.86000061035156,0.4687449379880305
redFont,"May 26, 2024",1716681600,2024-05-26T00:00:00Z,108.80,109.11,109.22,107.97,11.84M,11841871,-0.20,108.80000305175781,109.11000061035156,109.22000122070312,107.97000122070312,-0.2017919630183599
redFont,"May 19, 2024",1716076800,2024-05-19T00:00:00Z,109.02,109.47,109.62,108.81,5.53M,5528243,-0.42,109.01999664306641,109.47000122070312,109.62000274658203,108.80999755859375,-0.4201741868489396
greenFont,"May 12, 2024",1715472000,2024-05-12T00:00:00Z,109.48,108.98,110.28,108.75,138.80K,138802,0.72,109.48000335693359,108.98000335693359,110.27999877929688,108.75000000000000,0.7175772130543927
redFont,"May 05, 2024",1714867200,2024-05-05T00:00:00Z,108.70,108.78,109.28,108.61,7.95M,7951523,-0.15,108.69999694824219,108.77999877929688,109.27999877929688,108.61000061035156,-0.14698113284243372
greenFont,"Apr 28, 2024",1714262400,2024-04-28T00:00:00Z,108.86,107.58,109.30,107.39,11.47M,11473852,1.19,108.86000061035156,107.58000183105469,109.30000305175781,107.38999938964844,1.1898110778125892
redFont,"Apr 21, 2024",1713657600,2024-04-21T00:00:00Z,107.58,107.69,108.25,107.12,9.84M,9840742,-0.31,107.58000183105469,107.69000244140625,108.25000000000000,107.12000274658203,-0.3058120840102998
redFont,"Apr 14, 2024",1713052800,2024-04-14T00:00:00Z,107.91,108.67,108.70,107.42,12.97M,12966398,-0.72,107.91000366210938,108.66999816894531,108.69999694824219,107.41999816894531,-0.7176361779155953
redFont,"Apr 07, 2024",1712448000,2024-04-07T00:00:00Z,108.69,109.41,109.83,107.86,12.63M,12628087,-0.88,108.69000244140625,109.41000366210938,109.83000183105469,107.86000061035156,-0.8845533360476148
redFont,"Mar 31, 2024",1711843200,2024-03-31T00:00:00Z,109.66,110.80,110.91,109.30,10.60M,10600298,-1.03,109.66000366210938,110.80000305175781,110.91000366210938,109.30000305175781,-1.0288802872287932
greenFont,"Mar 24, 2024",1711238400,2024-03-24T00:00:00Z,110.80,110.86,110.98,110.36,5.75M,5750438,0.05,110.80000305175781,110.86000061035156,110.98000335693359,110.36000061035156,0.0451494823998307
greenFont,"Mar 17, 2024",1710633600,2024-03-17T00:00:00Z,110.75,110.03,110.88,109.77,7.79M,7785333,0.61,110.75000000000000,110.02999877929688,110.87999725341797,109.76999664306641,0.6086465823043793
redFont,"Mar 10, 2024",1710028800,2024-03-10T00:00:00Z,110.08,111.78,111.97,109.97,8.92M,8916616,-1.48,110.08000183105469,111.77999877929688,111.97000122070312,109.97000122070312,-1.4767756880914051
