Date,Price,Open,High,Low,Vol,Change %
"Feb 03, 2025",4.3055,4.2585,4.3375,4.1835,69.19K,0.62
"Feb 04, 2025",4.3535,4.3320,4.3720,4.3065,44.13K,1.11
"Feb 05, 2025",4.4440,4.3590,4.4565,4.3430,56.00K,2.08
"Feb 06, 2025",4.4610,4.4370,4.5095,4.4110,64.52K,0.38
"Feb 07, 2025",4.5890,4.4580,4.6080,4.4570,92.76K,2.87
"Feb 10, 2025",4.7070,4.5980,4.7150,4.5705,107.86K,2.57
"Feb 11, 2025",4.6010,4.6935,4.7000,4.5410,103.14K,-2.25
"Feb 12, 2025",4.7045,4.5975,4.7125,4.5755,77.94K,2.25
"Feb 13, 2025",4.7780,4.6950,4.7905,4.6835,78.51K,1.56
"Feb 14, 2025",4.6645,4.7830,4.8365,4.6365,116.10K,-2.38
"Feb 18, 2025",4.6425,4.6915,4.7180,4.5945,35.14K,-0.47
"Feb 19, 2025",4.6140,4.6425,4.6625,4.6020,24.43K,-0.61
"Feb 20, 2025",4.6660,4.6205,4.6900,4.5985,29.29K,1.13
"Feb 21, 2025",4.6155,4.6655,4.6690,4.5880,37.13K,-1.08
"Feb 24, 2025",4.5635,4.5905,4.6270,4.5495,37.12K,-1.13
"Feb 25, 2025",4.5035,4.5280,4.6790,4.4970,1.31K,-1.31
"Feb 26, 2025",4.5615,4.6535,4.7125,4.5500,1.62K,1.29
"Feb 27, 2025",4.6185,4.5835,4.6685,4.5490,52.00K,1.25
"Feb 28, 2025",4.5480,4.5955,4.5970,4.5115,43.88K,-1.53
"Mar 03, 2025",4.6070,4.5765,4.6535,4.5365,49.07K,1.30
"Mar 04, 2025",4.5450,4.6028,4.6118,4.5287,29.15K,-1.35
