Date,Price,Open,High,Low,Vol,Change %
Apr 2023,3.8812,4.0842,4.1940,3.8170,81.38K,-5.21
May 2023,3.6370,3.8815,4.0047,3.5452,0.66K,-6.29
Jun 2023,3.7595,3.6820,3.9640,3.6600,745.08K,3.37
Jul 2023,4.0080,3.7655,4.0170,3.7225,1.41M,6.61
Aug 2023,3.8220,4.0250,4.0345,3.6730,61.76K,-4.64
Sep 2023,3.7375,3.8330,3.9085,3.6240,1.27M,-2.21
Oct 2023,3.6490,3.7540,3.7615,3.5195,1.62M,-2.37
Nov 2023,3.8505,3.6485,3.8638,3.5808,76.39K,5.52
Dec 2023,3.8905,3.8475,3.9670,3.7250,125.75K,1.04
Jan 2024,3.9170,3.8955,3.9535,3.7145,1.70M,0.68
Feb 2024,3.8470,3.8975,3.9090,3.6755,129.17K,-1.79
Mar 2024,4.0250,3.8470,4.1640,3.8180,1.63M,4.63
Apr 2024,4.5630,4.0310,4.6910,4.0250,2.29M,13.37
May 2024,4.6020,4.5355,5.1870,4.4685,186.83K,0.85
Jun 2024,4.3850,4.6250,4.6960,4.3240,1.08M,-4.72
Jul 2024,4.1765,4.3745,4.6965,4.0300,131.89K,-4.75
Aug 2024,4.1670,4.1945,4.2535,3.9210,1.09M,-0.23
Sep 2024,4.5530,4.1735,4.7900,4.0275,195.17K,9.26
Oct 2024,4.3400,4.5335,4.6360,4.2755,109.56K,-4.68
Nov 2024,4.1400,4.3860,4.4980,4.0675,107.25K,-4.61
Dec 2024,4.0450,4.1430,4.3350,4.0300,885.52K,-2.29
Jan 2025,4.3210,4.0630,4.4760,4.0300,28.87K,6.82
Feb 2025,4.5690,4.2955,4.8850,4.2280,675.26K,5.74
Mar 2025,4.5458,4.5800,4.6538,4.5287,78.22K,-0.51
