direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,Mar 2025,1740787200,2025-03-01T00:00:00Z,4.5458,4.5800,4.6538,4.5287,78.22K,78219,-0.51,4.54580020904541,4.57999992370605,4.65380001068115,4.52874994277954,-0.5077601102998545
greenFont,Feb 2025,1738368000,2025-02-01T00:00:00Z,4.5690,4.2955,4.8850,4.2280,675.26K,675264,5.74,4.56899976730347,4.29549980163574,4.88500022888184,4.22800016403198,5.739404360770124
greenFont,Jan 2025,1735689600,2025-01-01T00:00:00Z,4.3210,4.0630,4.4760,4.0300,28.87K,28865,6.82,4.32100009918213,4.06300020217896,4.47599983215332,4.03000020980835,6.823239003274697
redFont,Dec 2024,1733011200,2024-12-01T00:00:00Z,4.0450,4.1430,4.3350,4.0300,885.52K,885516,-2.29,4.04500007629395,4.14300012588501,4.33500003814697,4.03000020980835,-2.294680996506762
redFont,Nov 2024,1730419200,2024-11-01T00:00:00Z,4.1400,4.3860,4.4980,4.0675,107.25K,107248,-4.61,4.13999986648560,4.38600015640259,4.49800014495850,4.06750011444092,-4.608301361073267
redFont,Oct 2024,1727740800,2024-10-01T00:00:00Z,4.3400,4.5335,4.6360,4.2755,109.56K,109557,-4.68,4.34000015258789,4.53350019454956,4.63600015640259,4.27549982070923,-4.678230220919229
greenFont,Sep 2024,1725148800,2024-09-01T00:00:00Z,4.5530,4.1735,4.7900,4.0275,195.17K,195167,9.26,4.55299997329712,4.17350006103516,4.78999996185303,4.02750015258789,9.263263099691171
redFont,Aug 2024,1722470400,2024-08-01T00:00:00Z,4.1670,4.1945,4.2535,3.9210,1.09M,1090747,-0.23,4.16699981689453,4.19449996948242,4.25349998474121,3.92100000381470,-0.2274638347573159
redFont,Jul 2024,1719792000,2024-07-01T00:00:00Z,4.1765,4.3745,4.6965,4.0300,131.89K,131892,-4.75,4.17649984359741,4.37449979782104,4.69649982452393,4.03000020980835,-4.754854604365595
redFont,Jun 2024,1717200000,2024-06-01T00:00:00Z,4.3850,4.6250,4.6960,4.3240,1.08M,1078692,-4.72,4.38500022888184,4.62500000000000,4.69600009918213,4.32399988174438,-4.715341079467145
greenFont,May 2024,1714521600,2024-05-01T00:00:00Z,4.6020,4.5355,5.1870,4.4685,186.83K,186830,0.85,4.60200023651123,4.53550004959106,5.18699979782104,4.46850013732910,0.8547015692360821
greenFont,Apr 2024,1711929600,2024-04-01T00:00:00Z,4.5630,4.0310,4.6910,4.0250,2.29M,2294528,13.37,4.56300020217896,4.03100013732910,4.69099998474121,4.02500009536743,13.36646196432992
greenFont,Mar 2024,1709251200,2024-03-01T00:00:00Z,4.0250,3.8470,4.1640,3.8180,1.63M,1634170,4.63,4.02500009536743,3.84699988365173,4.16400003433228,3.81800007820129,4.626987707281523
redFont,Feb 2024,1706745600,2024-02-01T00:00:00Z,3.8470,3.8975,3.9090,3.6755,129.17K,129167,-1.79,3.84699988365173,3.89750003814697,3.90899991989136,3.67549991607666,-1.7870863077070984
greenFont,Jan 2024,1704067200,2024-01-01T00:00:00Z,3.9170,3.8955,3.9535,3.7145,1.70M,1696526,0.68,3.91700005531311,3.89549994468689,3.95350003242493,3.71449995040894,0.681146027010774
greenFont,Dec 2023,1701388800,2023-12-01T00:00:00Z,3.8905,3.8475,3.9670,3.7250,125.75K,125754,1.04,3.89050006866455,3.84750008583069,3.96700000762939,3.72499990463257,1.0388251069587098
greenFont,Nov 2023,1698796800,2023-11-01T00:00:00Z,3.8505,3.6485,3.8638,3.5808,76.39K,76393,5.52,3.85050010681152,3.64849996566772,3.86380004882812,3.58080005645752,5.52206580653457
redFont,Oct 2023,1696118400,2023-10-01T00:00:00Z,3.6490,3.7540,3.7615,3.5195,1.62M,1616125,-2.37,3.64899992942810,3.75399994850159,3.76149988174438,3.51950001716614,-2.367893619191433
redFont,Sep 2023,1693526400,2023-09-01T00:00:00Z,3.7375,3.8330,3.9085,3.6240,1.27M,1266566,-2.21,3.73749995231628,3.83299994468689,3.90849995613098,3.62400007247925,-2.2108862845690602
redFont,Aug 2023,1690848000,2023-08-01T00:00:00Z,3.8220,4.0250,4.0345,3.6730,61.76K,61760,-4.64,3.82200002670288,4.02500009536743,4.03450012207031,3.67300009727478,-4.640715446109783
greenFont,Jul 2023,1688169600,2023-07-01T00:00:00Z,4.0080,3.7655,4.0170,3.7225,1.41M,1408172,6.61,4.00799989700317,3.76550006866455,4.01700019836426,3.72250008583069,6.609918035250747
greenFont,Jun 2023,1685577600,2023-06-01T00:00:00Z,3.7595,3.6820,3.9640,3.6600,745.08K,745081,3.37,3.75950002670288,3.68199992179871,3.96399998664856,3.66000008583069,3.368158920892732
redFont,May 2023,1682899200,2023-05-01T00:00:00Z,3.6370,3.8815,4.0047,3.5452,0.66K,660,-6.29,3.63700008392334,3.88150000572205,4.00470018386841,3.54520010948181,-6.291868146395195
redFont,Apr 2023,1680307200,2023-04-01T00:00:00Z,3.8812,4.0842,4.1940,3.8170,81.38K,81381,-5.21,3.88120007514954,4.08419990539551,4.19399976730347,3.81699991226196,-5.209426946440452
