Date,Price,Open,High,Low,Vol,Change %
"Mar 10, 2024",4.1360,3.9045,4.1475,3.9035,2.64K,5.96
"Mar 17, 2024",4.0240,4.1370,4.1735,4.0135,1.97K,-2.71
"Mar 24, 2024",4.0390,4.0170,4.0695,3.9990,27.91K,0.37
"Mar 31, 2024",4.2665,4.0500,4.2850,4.0500,115.57K,5.63
"Apr 07, 2024",4.2895,4.2620,4.3875,4.2005,271.88K,0.54
"Apr 14, 2024",4.5260,4.3755,4.5410,4.3015,275.53K,5.51
"Apr 21, 2024",4.5740,4.5145,4.6145,4.4115,434.49K,1.06
"Apr 28, 2024",4.5620,4.6130,4.6910,4.4835,0.76K,-0.26
"May 05, 2024",4.6510,4.6075,4.7045,4.5280,1.44K,1.95
"May 12, 2024",4.9655,4.6285,4.9950,4.6100,3.69K,6.76
"May 19, 2024",4.7405,5.0235,5.1170,4.7225,0.94K,-4.53
"May 26, 2024",4.6105,4.7585,4.8760,4.5825,50.94K,-2.74
"Jun 02, 2024",4.4860,4.6330,4.6940,4.4510,144.40K,-2.70
"Jun 09, 2024",4.4750,4.4550,4.6020,4.4355,175.10K,-0.25
"Jun 16, 2024",4.4285,4.4810,4.5360,4.3690,197.11K,-1.04
"Jun 23, 2024",4.3990,4.4165,4.4560,4.3425,176.20K,-0.67
"Jun 30, 2024",4.6300,4.3870,4.6410,4.3870,0.78K,5.25
"Jul 07, 2024",4.5870,4.6160,4.6385,4.4965,0.46K,-0.93
"Jul 14, 2024",4.2460,4.5885,4.5885,4.2420,0.62K,-7.43
"Jul 21, 2024",4.1380,4.2400,4.2440,4.0600,1.24K,-2.54
"Jul 28, 2024",4.1310,4.1300,4.2400,4.0775,1.00K,-0.17
"Aug 04, 2024",4.0165,4.1485,4.1485,3.9625,1.43K,-2.77
"Aug 11, 2024",4.1670,4.0475,4.1785,4.0440,0.87K,3.75
"Aug 18, 2024",4.2305,4.2030,4.2390,4.1615,0.73K,1.52
"Aug 25, 2024",4.2115,4.2565,4.2900,4.1765,108.70K,-0.45
"Sep 01, 2024",4.0735,4.2175,4.2280,4.0420,249.66K,-3.28
"Sep 08, 2024",4.2130,4.0515,4.2190,4.0490,1.87K,3.42
"Sep 15, 2024",4.3160,4.1980,4.3575,4.1840,3.38K,2.44
"Sep 22, 2024",4.5995,4.2970,4.6590,4.2575,84.41K,6.57
"Sep 29, 2024",4.5740,4.6490,4.7900,4.4970,334.43K,-0.55
"Oct 06, 2024",4.4660,4.5530,4.5770,4.3480,2.68K,-2.36
"Oct 13, 2024",4.3565,4.4025,4.4375,4.2755,2.44K,-2.45
"Oct 20, 2024",4.3440,4.3755,4.4280,4.2845,2.41K,-0.29
"Oct 27, 2024",4.3715,4.3555,4.4100,4.3110,153.69K,0.63
"Nov 03, 2024",4.3375,4.4720,4.4980,4.2730,1.12K,-0.78
"Nov 10, 2024",4.0935,4.3080,4.3080,4.0675,1.28K,-5.63
"Nov 17, 2024",4.1190,4.0875,4.1900,4.0875,1.02K,0.62
"Nov 24, 2024",4.1400,4.1375,4.1740,4.0950,103.74K,0.51
"Dec 01, 2024",4.1965,4.1430,4.2610,4.0815,258.64K,1.36
"Dec 08, 2024",4.1770,4.1840,4.3030,4.1690,1.57K,-0.46
"Dec 15, 2024",4.0790,4.1810,4.1930,4.0500,1.65K,-2.35
"Dec 22, 2024",4.1005,4.0855,4.1260,4.0600,1.85K,0.53
"Dec 29, 2024",4.0735,4.1260,4.1485,4.0050,171.15K,-0.66
"Jan 05, 2025",4.2820,4.0575,4.3310,4.0475,3.16K,5.12
"Jan 12, 2025",4.3460,4.2525,4.4420,4.2525,2.13K,1.49
"Jan 19, 2025",4.2965,4.3355,4.3600,4.2360,2.49K,-1.14
"Jan 26, 2025",4.2790,4.2500,4.3455,4.2000,90.53K,-0.41
"Feb 02, 2025",4.6320,4.2955,4.6485,4.2280,95.67K,8.25
"Feb 09, 2025",4.7130,4.6465,4.8850,4.5845,270.04K,1.75
"Feb 16, 2025",4.6155,4.6915,4.7180,4.5880,126.00K,-2.07
"Feb 23, 2025",4.5690,4.5905,4.7495,4.5160,183.56K,-1.01
"Mar 02, 2025",4.5458,4.5800,4.6538,4.5287,78.22K,-0.51
