direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,"Mar 02, 2025",1740873600,2025-03-02T00:00:00Z,4.5458,4.5800,4.6538,4.5287,78.22K,78219,-0.51,4.54580020904541,4.57999992370605,4.65380001068115,4.52874994277954,-0.5077601102998545
redFont,"Feb 23, 2025",1740268800,2025-02-23T00:00:00Z,4.5690,4.5905,4.7495,4.5160,183.56K,183555,-1.01,4.56899976730347,4.59049987792969,4.74949979782104,4.51599979400635,-1.0074792820425882
redFont,"Feb 16, 2025",1739664000,2025-02-16T00:00:00Z,4.6155,4.6915,4.7180,4.5880,126.00K,125997,-2.07,4.61549997329712,4.69150018692017,4.71799993515015,4.58799982070923,-2.0687428627450726
greenFont,"Feb 09, 2025",1739059200,2025-02-09T00:00:00Z,4.7130,4.6465,4.8850,4.5845,270.04K,270038,1.75,4.71299982070923,4.64650011062622,4.88500022888184,4.58449983596802,1.7487014628771926
greenFont,"Feb 02, 2025",1738454400,2025-02-02T00:00:00Z,4.6320,4.2955,4.6485,4.2280,95.67K,95674,8.25,4.63199996948242,4.29549980163574,4.64849996566772,4.22800016403198,8.249595234436338
redFont,"Jan 26, 2025",1737849600,2025-01-26T00:00:00Z,4.2790,4.2500,4.3455,4.2000,90.53K,90525,-0.41,4.27899980545044,4.25000000000000,4.34549999237061,4.19999980926514,-0.40731757719448375
redFont,"Jan 19, 2025",1737244800,2025-01-19T00:00:00Z,4.2965,4.3355,4.3600,4.2360,2.49K,2487,-1.14,4.29650020599365,4.33549976348877,4.36000013351440,4.23600006103516,-1.138978056604537
greenFont,"Jan 12, 2025",1736640000,2025-01-12T00:00:00Z,4.3460,4.2525,4.4420,4.2525,2.13K,2130,1.49,4.34600019454956,4.25250005722046,4.44199991226196,4.25250005722046,1.4946316845035799
greenFont,"Jan 05, 2025",1736035200,2025-01-05T00:00:00Z,4.2820,4.0575,4.3310,4.0475,3.16K,3158,5.12,4.28200006484985,4.05749988555908,4.33099985122681,4.04750013351440,5.118446064609748
redFont,"Dec 29, 2024",1735430400,2024-12-29T00:00:00Z,4.0735,4.1260,4.1485,4.0050,171.15K,171145,-0.66,4.07350015640259,4.12599992752075,4.14849996566772,4.00500011444092,-0.6584550592762922
greenFont,"Dec 22, 2024",1734825600,2024-12-22T00:00:00Z,4.1005,4.0855,4.1260,4.0600,1.85K,1847,0.53,4.10050010681152,4.08549976348877,4.12599992752075,4.05999994277954,0.5270926856172302
redFont,"Dec 15, 2024",1734220800,2024-12-15T00:00:00Z,4.0790,4.1810,4.1930,4.0500,1.65K,1646,-2.35,4.07899999618530,4.18100023269653,4.19299983978271,4.05000019073486,-2.3461826314836616
redFont,"Dec 08, 2024",1733616000,2024-12-08T00:00:00Z,4.1770,4.1840,4.3030,4.1690,1.57K,1571,-0.46,4.17700004577637,4.18400001525879,4.30299997329712,4.16900014877319,-0.4646676888583574
greenFont,"Dec 01, 2024",1733011200,2024-12-01T00:00:00Z,4.1965,4.1430,4.2610,4.0815,258.64K,258635,1.36,4.19649982452393,4.14300012588501,4.26100015640259,4.08150005340576,1.364733329962454
greenFont,"Nov 24, 2024",1732406400,2024-11-24T00:00:00Z,4.1400,4.1375,4.1740,4.0950,103.74K,103741,0.51,4.13999986648560,4.13749980926514,4.17399978637695,4.09499979019165,0.5098302661132158
greenFont,"Nov 17, 2024",1731801600,2024-11-17T00:00:00Z,4.1190,4.0875,4.1900,4.0875,1.02K,1022,0.62,4.11899995803833,4.08750009536743,4.19000005722046,4.08750009536743,0.6229344046356439
redFont,"Nov 10, 2024",1731196800,2024-11-10T00:00:00Z,4.0935,4.3080,4.3080,4.0675,1.28K,1279,-5.63,4.09350013732910,4.30800008773804,4.30800008773804,4.06750011444092,-5.625359139448292
redFont,"Nov 03, 2024",1730592000,2024-11-03T00:00:00Z,4.3375,4.4720,4.4980,4.2730,1.12K,1124,-0.78,4.33750009536743,4.47200012207031,4.49800014495850,4.27299976348877,-0.7777632339627777
