direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,"Mar 04, 2025",1741046400,2025-03-04T00:00:00Z,67.29,68.30,68.33,66.78,179.23K,179229,-1.58,67.29000091552734,68.30000305175781,68.33000183105469,66.77999877929688,-1.5796428077643732
redFont,"Mar 03, 2025",1740960000,2025-03-03T00:00:00Z,68.37,69.95,70.60,67.89,332.75K,332751,-1.99,68.37000274658203,69.94999694824219,70.59999847412109,67.88999938964844,-1.9925449356122211
redFont,"Feb 28, 2025",1740700800,2025-02-28T00:00:00Z,69.76,70.17,70.29,69.14,250.07K,250074,-0.84,69.76000213623047,70.16999816894531,70.29000091552734,69.13999938964844,-0.8386586363717701
greenFont,"Feb 27, 2025",1740614400,2025-02-27T00:00:00Z,70.35,68.82,70.54,68.61,265.93K,265933,2.52,70.34999847412109,68.81999969482422,70.54000091552734,68.61000061035156,2.5211245384644547
redFont,"Feb 26, 2025",1740528000,2025-02-26T00:00:00Z,68.62,69.11,69.28,68.36,255.60K,255601,-0.45,68.62000274658203,69.11000061035156,69.27999877929688,68.36000061035156,-0.4497280679258506
redFont,"Feb 25, 2025",1740441600,2025-02-25T00:00:00Z,68.93,70.92,71.26,68.68,267.31K,267310,-2.50,68.93000030517578,70.91999816894531,71.26000213623047,68.68000030517578,-2.503531427819126
greenFont,"Feb 24, 2025",1740355200,2025-02-24T00:00:00Z,70.70,69.80,70.94,69.80,205.47K,205468,0.43,70.69999694824219,69.80000305175781,70.94000244140625,69.80000305175781,0.42612985207536325
redFont,"Feb 21, 2025",1740096000,2025-02-21T00:00:00Z,70.40,72.58,72.77,70.17,268.47K,268470,-2.99,70.40000152587891,72.58000183105469,72.76999664306641,70.16999816894531,-2.9902138322595024
greenFont,"Feb 20, 2025",1740009600,2025-02-20T00:00:00Z,72.57,72.18,73.25,71.85,26.71K,26707,0.44,72.56999969482422,72.18000030517578,73.25000000000000,71.84999847412109,0.4429061520058391
greenFont,"Feb 19, 2025",1739923200,2025-02-19T00:00:00Z,72.25,71.78,73.04,71.71,69.01K,69012,0.56,72.25000000000000,71.77999877929688,73.04000091552734,71.70999908447266,0.5567175147860005
greenFont,"Feb 18, 2025",1739836800,2025-02-18T00:00:00Z,71.85,70.70,72.07,70.12,130.94K,130937,1.61,71.84999847412109,70.69999694824219,72.06999969482422,70.12000274658203,1.6122180800576082
redFont,"Feb 14, 2025",1739491200,2025-02-14T00:00:00Z,70.71,71.38,71.88,70.50,213.47K,213471,-0.60,70.70999908447266,71.37999725341797,71.87999725341797,70.50000000000000,-0.6044423796246904
redFont,"Feb 13, 2025",1739404800,2025-02-13T00:00:00Z,71.14,71.08,71.46,70.16,220.02K,220019,-0.14,71.13999938964844,71.08000183105469,71.45999908447266,70.16000366210938,-0.14036844065088033
redFont,"Feb 12, 2025",1739318400,2025-02-12T00:00:00Z,71.24,72.98,73.00,71.03,221.77K,221770,-2.52,71.23999786376953,72.98000335693359,73.00000000000000,71.02999877929688,-2.517794090288683
greenFont,"Feb 11, 2025",1739232000,2025-02-11T00:00:00Z,73.08,72.11,73.33,72.00,195.49K,195494,1.49,73.08000183105469,72.11000061035156,73.33000183105469,72.00000000000000,1.4859042675765575
greenFont,"Feb 10, 2025",1739145600,2025-02-10T00:00:00Z,72.01,70.77,72.20,70.61,160.44K,160438,1.42,72.01000213623047,70.76999664306641,72.19999694824219,70.61000061035156,1.4225382200429137
greenFont,"Feb 07, 2025",1738886400,2025-02-07T00:00:00Z,71.00,70.56,71.41,70.47,273.77K,273766,0.55,71.00000000000000,70.55999755859375,71.41000366210938,70.47000122070312,0.5523288291704997
redFont,"Feb 06, 2025",1738800000,2025-02-06T00:00:00Z,70.61,71.18,71.85,70.43,299.04K,299037,-0.59,70.61000061035156,71.18000030517578,71.84999847412109,70.43000030517578,-0.5912968832370717
redFont,"Feb 05, 2025",1738713600,2025-02-05T00:00:00Z,71.03,72.76,72.97,70.96,289.90K,289902,-2.30,71.02999877929688,72.76000213623047,72.97000122070312,70.95999908447266,-2.2971089945632954
redFont,"Feb 04, 2025",1738627200,2025-02-04T00:00:00Z,72.70,72.35,73.35,70.67,452.96K,452961,-0.63,72.69999694824219,72.34999847412109,73.34999847412109,70.66999816894531,-0.6287680301271384
greenFont,"Feb 03, 2025",1738540800,2025-02-03T00:00:00Z,73.16,74.14,75.18,72.05,517.85K,517853,0.87,73.16000366210938,74.13999938964844,75.18000030517578,72.05000305175781,0.8686128407771737
