Date,Price,Open,High,Low,Vol,Change %
Apr 2023,76.78,80.27,83.53,73.93,328.40K,1.47
May 2023,68.09,76.13,76.28,63.70,440.86K,-11.32
Jun 2023,70.64,67.60,75.06,66.80,6.16M,3.75
Jul 2023,81.80,70.46,82.00,69.70,297.27K,15.80
Aug 2023,83.63,81.64,84.89,77.59,299.42K,2.24
Sep 2023,90.79,83.63,95.03,83.46,5.93M,8.56
Oct 2023,81.02,90.88,91.88,80.74,346.01K,-10.76
Nov 2023,75.96,81.31,83.60,72.17,322.17K,-6.25
Dec 2023,71.65,75.59,76.76,67.71,5.25M,-5.67
Jan 2024,75.85,71.71,79.29,69.28,6.50M,5.86
Feb 2024,78.26,75.96,79.80,71.41,6.04M,3.18
Mar 2024,83.17,78.28,83.85,76.79,5.50M,6.27
Apr 2024,81.93,83.14,87.67,80.88,6.56M,-1.49
May 2024,76.99,81.48,81.57,76.15,6.28M,-6.03
Jun 2024,81.54,76.97,82.72,72.48,5.25M,5.91
Jul 2024,77.91,81.45,84.52,74.59,6.85M,-4.45
Aug 2024,73.55,78.59,80.16,71.46,7.22M,-5.60
Sep 2024,68.17,73.53,74.41,65.27,6.66M,-7.31
Oct 2024,69.26,68.41,78.46,66.33,7.35M,1.60
Nov 2024,68.00,70.44,72.88,66.61,5.54M,-1.82
Dec 2024,71.72,68.00,72.02,66.98,4.65M,5.47
Jan 2025,72.53,71.85,80.77,71.79,6.29M,1.13
Feb 2025,69.76,74.14,75.18,68.36,4.65M,-3.82
Mar 2025,67.29,70.09,70.60,66.78,511.98K,-3.54
