direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,Mar 2025,1740787200,2025-03-01T00:00:00Z,67.29,70.09,70.60,66.78,511.98K,511980,-3.54,67.29000091552734,70.08999633789062,70.59999847412109,66.77999877929688,-3.5407126506097226
redFont,Feb 2025,1738368000,2025-02-01T00:00:00Z,69.76,74.14,75.18,68.36,4.65M,4649756,-3.82,69.76000213623047,74.13999938964844,75.18000030517578,68.36000061035156,-3.819104770007359
greenFont,Jan 2025,1735689600,2025-01-01T00:00:00Z,72.53,71.85,80.77,71.79,6.29M,6287977,1.13,72.52999877929688,71.84999847412109,80.76999664306641,71.79000091552734,1.1293886570095752
greenFont,Dec 2024,1733011200,2024-12-01T00:00:00Z,71.72,68.00,72.02,66.98,4.65M,4645208,5.47,71.72000122070312,68.00000000000000,72.01999664306641,66.98000335693359,5.470590030445772
redFont,Nov 2024,1730419200,2024-11-01T00:00:00Z,68.00,70.44,72.88,66.61,5.54M,5541596,-1.82,68.00000000000000,70.44000244140625,72.87999725341797,66.61000061035156,-1.8192349081250625
greenFont,Oct 2024,1727740800,2024-10-01T00:00:00Z,69.26,68.41,78.46,66.33,7.35M,7348822,1.60,69.26000213623047,68.41000366210938,78.45999908447266,66.33000183105469,1.5989496795698979
redFont,Sep 2024,1725148800,2024-09-01T00:00:00Z,68.17,73.53,74.41,65.27,6.66M,6664743,-7.31,68.16999816894531,73.52999877929688,74.41000366210938,65.26999664306641,-7.314758204736635
redFont,Aug 2024,1722470400,2024-08-01T00:00:00Z,73.55,78.59,80.16,71.46,7.22M,7218580,-5.60,73.55000305175781,78.58999633789062,80.16000366210938,71.45999908447266,-5.59620126480882
redFont,Jul 2024,1719792000,2024-07-01T00:00:00Z,77.91,81.45,84.52,74.59,6.85M,6850046,-4.45,77.91000366210938,81.44999694824219,84.51999664306641,74.58999633789062,-4.451799377802954
greenFont,Jun 2024,1717200000,2024-06-01T00:00:00Z,81.54,76.97,82.72,72.48,5.25M,5252680,5.91,81.54000091552734,76.97000122070312,82.72000122070312,72.48000335693359,5.909862550988566
redFont,May 2024,1714521600,2024-05-01T00:00:00Z,76.99,81.48,81.57,76.15,6.28M,6276478,-6.03,76.98999786376953,81.48000335693359,81.56999969482422,76.15000152587891,-6.0295403673935715
redFont,Apr 2024,1711929600,2024-04-01T00:00:00Z,81.93,83.14,87.67,80.88,6.56M,6558260,-1.49,81.93000030517578,83.13999938964844,87.66999816894531,80.87999725341797,-1.4909196718397089
greenFont,Mar 2024,1709251200,2024-03-01T00:00:00Z,83.17,78.28,83.85,76.79,5.50M,5502850,6.27,83.16999816894531,78.27999877929688,83.84999847412109,76.79000091552734,6.273953358917379
greenFont,Feb 2024,1706745600,2024-02-01T00:00:00Z,78.26,75.96,79.80,71.41,6.04M,6035887,3.18,78.26000213623047,75.95999908447266,79.80000305175781,71.41000366210938,3.1773285571411485
greenFont,Jan 2024,1704067200,2024-01-01T00:00:00Z,75.85,71.71,79.29,69.28,6.50M,6500574,5.86,75.84999847412109,71.70999908447266,79.29000091552734,69.27999877929688,5.8618239480779515
redFont,Dec 2023,1701388800,2023-12-01T00:00:00Z,71.65,75.59,76.76,67.71,5.25M,5248553,-5.67,71.65000152587891,75.58999633789062,76.76000213623047,67.70999908447266,-5.67403582219734
redFont,Nov 2023,1698796800,2023-11-01T00:00:00Z,75.96,81.31,83.60,72.17,322.17K,322170,-6.25,75.95999908447266,81.30999755859375,83.59999847412109,72.16999816894531,-6.245368758635685
redFont,Oct 2023,1696118400,2023-10-01T00:00:00Z,81.02,90.88,91.88,80.74,346.01K,346007,-10.76,81.01999664306641,90.87999725341797,91.87999725341797,80.73999786376953,-10.761101634475283
greenFont,Sep 2023,1693526400,2023-09-01T00:00:00Z,90.79,83.63,95.03,83.46,5.93M,5926119,8.56,90.79000091552734,83.62999725341797,95.02999877929688,83.45999908447266,8.56152564541277
greenFont,Aug 2023,1690848000,2023-08-01T00:00:00Z,83.63,81.64,84.89,77.59,299.42K,299418,2.24,83.62999725341797,81.63999938964844,84.88999938964844,77.58999633789062,2.237156642283073
greenFont,Jul 2023,1688169600,2023-07-01T00:00:00Z,81.80,70.46,82.00,69.70,297.27K,297270,15.80,81.80000305175781,70.45999908447266,82.00000000000000,69.69999694824219,15.798419816726044
greenFont,Jun 2023,1685577600,2023-06-01T00:00:00Z,70.64,67.60,75.06,66.80,6.16M,6155762,3.75,70.63999938964844,67.59999847412109,75.05999755859375,66.80000305175781,3.745048008379449
redFont,May 2023,1682899200,2023-05-01T00:00:00Z,68.09,76.13,76.28,63.70,440.86K,440862,-11.32,68.08999633789062,76.12999725341797,76.27999877929688,63.70000076293945,-11.318054935616177
greenFont,Apr 2023,1680307200,2023-04-01T00:00:00Z,76.78,80.27,83.53,73.93,328.40K,328399,1.47,76.77999877929688,80.26999664306641,83.52999877929688,73.93000030517578,1.466896573557871
