Date,Price,Open,High,Low,Vol,Change %
"Mar 10, 2024",81.04,77.80,81.62,76.79,1.44M,3.88
"Mar 17, 2024",80.63,81.03,83.85,80.30,685.54K,-0.51
"Mar 24, 2024",83.17,80.85,83.21,80.55,1.08M,3.15
"Mar 31, 2024",86.91,83.14,87.63,82.60,1.70M,4.50
"Apr 07, 2024",85.66,86.10,87.67,84.55,1.84M,-1.44
"Apr 14, 2024",83.14,85.93,86.28,81.56,1.01M,-2.94
"Apr 21, 2024",83.85,83.05,84.46,80.88,1.27M,0.85
"Apr 28, 2024",78.11,83.69,83.91,77.96,1.86M,-6.85
"May 05, 2024",78.26,78.16,79.96,76.89,1.53M,0.19
"May 12, 2024",80.06,78.18,80.14,76.70,1.24M,2.30
"May 19, 2024",77.72,80.01,80.60,76.15,1.06M,-2.92
"May 26, 2024",76.99,77.81,80.62,76.67,1.31M,-0.94
"Jun 02, 2024",75.53,76.97,77.52,72.48,1.73M,-1.90
"Jun 09, 2024",78.45,75.35,79.32,75.23,1.51M,3.87
"Jun 16, 2024",80.73,78.48,82.41,77.98,581.21K,2.91
"Jun 23, 2024",80.64,79.77,81.78,79.50,749.67K,-0.11
"Jun 30, 2024",83.16,81.45,84.52,81.38,1.36M,3.13
"Jul 07, 2024",82.21,83.15,83.74,80.81,1.58M,-1.14
"Jul 14, 2024",80.13,82.16,83.82,80.07,1.04M,-2.53
"Jul 21, 2024",77.16,80.39,80.69,76.04,1.62M,-3.71
"Jul 28, 2024",73.52,77.30,78.88,72.97,2.09M,-4.72
"Aug 04, 2024",76.84,74.21,77.09,71.67,1.87M,4.52
"Aug 11, 2024",76.65,76.99,80.16,75.54,1.40M,-0.25
"Aug 18, 2024",74.83,76.58,76.87,71.46,1.18M,-2.37
"Aug 25, 2024",72.65,74.13,76.40,72.46,930.46K,-2.91
"Sep 01, 2024",67.67,73.53,74.41,67.17,1.79M,-6.85
"Sep 08, 2024",68.65,68.13,70.32,65.27,1.80M,1.45
"Sep 15, 2024",71.92,69.16,72.49,68.65,780.23K,4.76
"Sep 22, 2024",68.18,71.31,72.40,66.95,1.95M,-5.20
"Sep 29, 2024",73.68,68.08,74.84,65.99,1.32M,8.07
"Oct 06, 2024",75.56,74.40,78.46,71.53,1.95M,2.55
"Oct 13, 2024",69.22,75.05,75.08,68.69,1.11M,-8.39
"Oct 20, 2024",71.78,69.46,72.66,69.00,992.36K,3.70
"Oct 27, 2024",69.08,68.58,70.95,66.32,546.82K,-3.76
"Nov 03, 2024",70.38,70.29,72.88,69.74,1.64M,1.88
"Nov 10, 2024",67.02,70.25,70.56,66.82,1.47M,-4.77
"Nov 17, 2024",71.24,66.86,71.51,66.61,916.22K,6.30
"Nov 24, 2024",68.00,71.44,71.48,67.87,1.19M,-4.55
"Dec 01, 2024",67.20,68.00,70.51,66.98,1.52M,-1.18
"Dec 08, 2024",71.29,67.15,71.42,67.08,1.48M,6.09
"Dec 15, 2024",69.46,71.44,71.44,68.42,667.77K,-2.57
"Dec 22, 2024",70.18,68.97,70.32,68.22,280.11K,1.04
"Dec 29, 2024",73.96,70.42,74.35,70.12,952.99K,5.39
"Jan 05, 2025",76.57,74.05,77.86,72.84,1.60M,3.53
"Jan 12, 2025",77.88,76.54,80.77,76.54,1.38M,1.71
"Jan 19, 2025",74.66,78.19,78.47,74.01,1.01M,-4.13
"Jan 26, 2025",71.98,73.81,74.32,71.39,839.16K,-3.59
"Feb 02, 2025",71.00,74.14,75.18,70.43,1.83M,-1.36
"Feb 09, 2025",70.74,71.00,73.68,70.22,1.33M,-0.37
"Feb 16, 2025",70.40,70.70,73.25,70.12,495.13K,-0.48
"Feb 23, 2025",69.76,69.80,71.26,68.36,994.31K,-0.91
"Mar 02, 2025",67.29,70.09,70.60,66.78,511.98K,-3.54
