direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,"Mar 04, 2025",1741046400,2025-03-04T00:00:00Z,446.88,456.25,458.90,445.88,177.57K,177573,-2.05,446.87500000000000,456.25000000000000,458.89999389648438,445.87500000000000,-2.0547945205479454
redFont,"Mar 03, 2025",1740960000,2025-03-03T00:00:00Z,456.25,469.75,472.75,454.50,353.21K,353207,-2.82,456.25000000000000,469.75000000000000,472.75000000000000,454.50000000000000,-2.8221512247071354
redFont,"Feb 28, 2025",1740700800,2025-02-28T00:00:00Z,469.50,481.25,483.75,469.00,287.88K,287883,-2.39,469.50000000000000,481.25000000000000,483.75000000000000,469.00000000000000,-2.3908523908523907
redFont,"Feb 27, 2025",1740614400,2025-02-27T00:00:00Z,481.00,493.50,496.25,480.00,323.81K,323813,-2.53,481.00000000000000,493.50000000000000,496.25000000000000,480.00000000000000,-2.5329280648429586
redFont,"Feb 26, 2025",1740528000,2025-02-26T00:00:00Z,493.50,495.00,500.00,492.25,221.42K,221417,-0.15,493.50000000000000,495.00000000000000,500.00000000000000,492.25000000000000,-0.15174506828528073
redFont,"Feb 25, 2025",1740441600,2025-02-25T00:00:00Z,494.25,497.50,498.50,488.50,233.37K,233372,-0.55,494.25000000000000,497.50000000000000,498.50000000000000,488.50000000000000,-0.5533199195171026
redFont,"Feb 24, 2025",1740355200,2025-02-24T00:00:00Z,497.00,504.50,505.25,495.25,280.98K,280980,-1.58,497.00000000000000,504.50000000000000,505.25000000000000,495.25000000000000,-1.5841584158415842
redFont,"Feb 21, 2025",1740096000,2025-02-21T00:00:00Z,505.00,512.25,513.75,504.25,235.05K,235049,-1.51,505.00000000000000,512.25000000000000,513.75000000000000,504.25000000000000,-1.5114578254509996
greenFont,"Feb 20, 2025",1740009600,2025-02-20T00:00:00Z,512.75,512.00,518.00,511.75,167.19K,167194,0.10,512.75000000000000,512.00000000000000,518.00000000000000,511.75000000000000,0.09760858955588092
redFont,"Feb 19, 2025",1739923200,2025-02-19T00:00:00Z,512.25,515.25,518.75,511.00,185.42K,185421,-0.68,512.25000000000000,515.25000000000000,518.75000000000000,511.00000000000000,-0.6786233640329618
greenFont,"Feb 18, 2025",1739836800,2025-02-18T00:00:00Z,515.75,508.00,517.75,505.50,173.58K,173575,3.93,515.75000000000000,508.00000000000000,517.75000000000000,505.50000000000000,3.929471032745592
greenFont,"Feb 14, 2025",1739491200,2025-02-14T00:00:00Z,496.25,493.00,499.75,492.50,195.60K,195600,0.56,496.25000000000000,493.00000000000000,499.75000000000000,492.50000000000000,0.5572441742654508
greenFont,"Feb 13, 2025",1739404800,2025-02-13T00:00:00Z,493.50,489.75,494.25,485.25,269.32K,269316,0.66,493.50000000000000,489.75000000000000,494.25000000000000,485.25000000000000,0.6629270780214176
greenFont,"Feb 12, 2025",1739318400,2025-02-12T00:00:00Z,490.25,483.75,492.25,481.50,271.39K,271391,1.29,490.25000000000000,483.75000000000000,492.25000000000000,481.50000000000000,1.2913223140495869
redFont,"Feb 11, 2025",1739232000,2025-02-11T00:00:00Z,484.00,491.75,497.00,483.25,311.26K,311257,-1.53,484.00000000000000,491.75000000000000,497.00000000000000,483.25000000000000,-1.525940996948118
greenFont,"Feb 10, 2025",1739145600,2025-02-10T00:00:00Z,491.50,485.75,492.75,482.25,250.90K,250904,0.82,491.50000000000000,485.75000000000000,492.75000000000000,482.25000000000000,0.8205128205128205
redFont,"Feb 07, 2025",1738886400,2025-02-07T00:00:00Z,487.50,495.50,496.50,485.50,287.30K,287303,-1.56,487.50000000000000,495.50000000000000,496.50000000000000,485.50000000000000,-1.5648662291771833
greenFont,"Feb 06, 2025",1738800000,2025-02-06T00:00:00Z,495.25,493.25,496.50,486.00,299.13K,299134,0.41,495.25000000000000,493.25000000000000,496.50000000000000,486.00000000000000,0.40547389761784086
redFont,"Feb 05, 2025",1738713600,2025-02-05T00:00:00Z,493.25,494.00,498.50,489.75,226.00K,226004,-0.25,493.25000000000000,494.00000000000000,498.50000000000000,489.75000000000000,-0.2527805864509606
greenFont,"Feb 04, 2025",1738627200,2025-02-04T00:00:00Z,494.50,488.00,497.25,487.25,279.78K,279780,1.18,494.50000000000000,488.00000000000000,497.25000000000000,487.25000000000000,1.1764705882352942
greenFont,"Feb 03, 2025",1738540800,2025-02-03T00:00:00Z,488.75,476.75,491.00,472.50,322.17K,322166,1.40,488.75000000000000,476.75000000000000,491.00000000000000,472.50000000000000,1.400414937759336
