Date,Price,Open,High,Low,Vol,Change %
Apr 2023,636.00,659.50,682.50,572.00,13.72K,-3.71
May 2023,593.00,583.30,656.25,547.10,176.21K,-6.76
Jun 2023,554.50,594.00,672.50,552.00,3.16M,-6.49
Jul 2023,504.00,558.50,614.75,495.25,1.29M,-9.11
Aug 2023,461.00,504.00,512.25,459.00,2.20M,-8.53
Sep 2023,476.75,461.00,490.00,455.75,1.23M,3.42
Oct 2023,478.75,477.00,509.50,476.00,3.35M,0.42
Nov 2023,461.75,478.75,481.25,447.00,3.79M,-3.55
Dec 2023,471.25,460.25,484.00,455.00,1.13M,2.06
Jan 2024,458.50,483.00,483.75,447.50,1.31M,-2.71
Feb 2024,415.75,448.00,448.75,394.50,3.61M,-9.32
Mar 2024,454.50,429.25,460.00,422.00,2.32M,9.32
Apr 2024,446.75,454.50,454.50,435.75,3.54M,-1.71
May 2024,454.00,446.75,483.75,443.75,3.03M,1.62
Jun 2024,397.25,445.75,460.50,390.50,3.98M,-12.50
Jul 2024,382.75,397.25,412.00,381.00,1.76M,-3.65
Aug 2024,401.00,399.75,409.00,385.00,4.42M,4.77
Sep 2024,424.75,378.00,427.75,376.50,2.05M,5.92
Oct 2024,410.75,423.50,434.25,399.00,5.16M,-3.30
Nov 2024,433.00,425.75,447.75,425.50,3.53M,5.42
Dec 2024,465.75,433.00,466.50,428.25,2.58M,7.56
Jan 2025,493.00,465.00,508.00,456.75,2.29M,5.85
Feb 2025,469.50,488.00,518.75,469.00,3.63M,-4.77
Mar 2025,446.88,471.40,472.63,445.88,530.78K,-4.82
