direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,Mar 2025,1740787200,2025-03-01T00:00:00Z,446.88,471.40,472.63,445.88,530.78K,530781,-4.82,446.87500000000000,471.39999389648438,472.62500000000000,445.87500000000000,-4.818956336528221
redFont,Feb 2025,1738368000,2025-02-01T00:00:00Z,469.50,488.00,518.75,469.00,3.63M,3634029,-4.77,469.50000000000000,488.00000000000000,518.75000000000000,469.00000000000000,-4.766734279918864
greenFont,Jan 2025,1735689600,2025-01-01T00:00:00Z,493.00,465.00,508.00,456.75,2.29M,2287308,5.85,493.00000000000000,465.00000000000000,508.00000000000000,456.75000000000000,5.850778314546431
greenFont,Dec 2024,1733011200,2024-12-01T00:00:00Z,465.75,433.00,466.50,428.25,2.58M,2576032,7.56,465.75000000000000,433.00000000000000,466.50000000000000,428.25000000000000,7.563510392609699
greenFont,Nov 2024,1730419200,2024-11-01T00:00:00Z,433.00,425.75,447.75,425.50,3.53M,3526863,5.42,433.00000000000000,425.75000000000000,447.75000000000000,425.50000000000000,5.4169202678028
redFont,Oct 2024,1727740800,2024-10-01T00:00:00Z,410.75,423.50,434.25,399.00,5.16M,5159302,-3.30,410.75000000000000,423.50000000000000,434.25000000000000,399.00000000000000,-3.29605650382578
greenFont,Sep 2024,1725148800,2024-09-01T00:00:00Z,424.75,378.00,427.75,376.50,2.05M,2054253,5.92,424.75000000000000,378.00000000000000,427.75000000000000,376.50000000000000,5.922693266832917
greenFont,Aug 2024,1722470400,2024-08-01T00:00:00Z,401.00,399.75,409.00,385.00,4.42M,4416779,4.77,401.00000000000000,399.75000000000000,409.00000000000000,385.00000000000000,4.768125408229915
redFont,Jul 2024,1719792000,2024-07-01T00:00:00Z,382.75,397.25,412.00,381.00,1.76M,1760479,-3.65,382.75000000000000,397.25000000000000,412.00000000000000,381.00000000000000,-3.6500943989930774
redFont,Jun 2024,1717200000,2024-06-01T00:00:00Z,397.25,445.75,460.50,390.50,3.98M,3977866,-12.50,397.25000000000000,445.75000000000000,460.50000000000000,390.50000000000000,-12.5
greenFont,May 2024,1714521600,2024-05-01T00:00:00Z,454.00,446.75,483.75,443.75,3.03M,3029289,1.62,454.00000000000000,446.75000000000000,483.75000000000000,443.75000000000000,1.6228315612758815
redFont,Apr 2024,1711929600,2024-04-01T00:00:00Z,446.75,454.50,454.50,435.75,3.54M,3536100,-1.71,446.75000000000000,454.50000000000000,454.50000000000000,435.75000000000000,-1.705170517051705
greenFont,Mar 2024,1709251200,2024-03-01T00:00:00Z,454.50,429.25,460.00,422.00,2.32M,2321508,9.32,454.50000000000000,429.25000000000000,460.00000000000000,422.00000000000000,9.320505111244739
redFont,Feb 2024,1706745600,2024-02-01T00:00:00Z,415.75,448.00,448.75,394.50,3.61M,3605723,-9.32,415.75000000000000,448.00000000000000,448.75000000000000,394.50000000000000,-9.323882224645583
redFont,Jan 2024,1704067200,2024-01-01T00:00:00Z,458.50,483.00,483.75,447.50,1.31M,1308456,-2.71,458.50000000000000,483.00000000000000,483.75000000000000,447.50000000000000,-2.7055702917771884
greenFont,Dec 2023,1701388800,2023-12-01T00:00:00Z,471.25,460.25,484.00,455.00,1.13M,1127110,2.06,471.25000000000000,460.25000000000000,484.00000000000000,455.00000000000000,2.057390362750406
redFont,Nov 2023,1698796800,2023-11-01T00:00:00Z,461.75,478.75,481.25,447.00,3.79M,3788825,-3.55,461.75000000000000,478.75000000000000,481.25000000000000,447.00000000000000,-3.5509138381201044
greenFont,Oct 2023,1696118400,2023-10-01T00:00:00Z,478.75,477.00,509.50,476.00,3.35M,3346787,0.42,478.75000000000000,477.00000000000000,509.50000000000000,476.00000000000000,0.4195070791819612
greenFont,Sep 2023,1693526400,2023-09-01T00:00:00Z,476.75,461.00,490.00,455.75,1.23M,1226148,3.42,476.75000000000000,461.00000000000000,490.00000000000000,455.75000000000000,3.41648590021692
redFont,Aug 2023,1690848000,2023-08-01T00:00:00Z,461.00,504.00,512.25,459.00,2.20M,2195220,-8.53,461.00000000000000,504.00000000000000,512.25000000000000,459.00000000000000,-8.531746031746032
redFont,Jul 2023,1688169600,2023-07-01T00:00:00Z,504.00,558.50,614.75,495.25,1.29M,1292176,-9.11,504.00000000000000,558.50000000000000,614.75000000000000,495.25000000000000,-9.107303877366997
redFont,Jun 2023,1685577600,2023-06-01T00:00:00Z,554.50,594.00,672.50,552.00,3.16M,3158177,-6.49,554.50000000000000,594.00000000000000,672.50000000000000,552.00000000000000,-6.492411467116358
redFont,May 2023,1682899200,2023-05-01T00:00:00Z,593.00,583.30,656.25,547.10,176.21K,176207,-6.76,593.00000000000000,583.29998779296875,656.25000000000000,547.09997558593750,-6.761006289308176
redFont,Apr 2023,1680307200,2023-04-01T00:00:00Z,636.00,659.50,682.50,572.00,13.72K,13722,-3.71,636.00000000000000,659.50000000000000,682.50000000000000,572.00000000000000,-3.709311127933384
