direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw
redFont,"Mar 02, 2025",1740873600,2025-03-02T00:00:00Z,446.88,471.40,472.63,445.88,530.78K,530780,-4.82,446.87500000000000,471.39999389648438,472.62500000000000,445.87500000000000,-4.818956336528221
redFont,"Feb 23, 2025",1740268800,2025-02-23T00:00:00Z,469.50,504.50,505.25,469.00,1.06M,1059582,-7.03,469.50000000000000,504.50000000000000,505.25000000000000,469.00000000000000,-7.02970297029703
redFont,"Feb 16, 2025",1739664000,2025-02-16T00:00:00Z,505.00,508.00,518.75,504.25,761.24K,761239,-0.74,505.00000000000000,508.00000000000000,518.75000000000000,504.25000000000000,-0.7371007371007371
greenFont,"Feb 09, 2025",1739059200,2025-02-09T00:00:00Z,508.75,498.25,512.00,495.25,958.48K,958477,1.65,508.75000000000000,498.25000000000000,512.00000000000000,495.25000000000000,1.6483516483516483
greenFont,"Feb 02, 2025",1738454400,2025-02-02T00:00:00Z,500.50,488.00,509.00,484.00,854.73K,854731,3.84,500.50000000000000,488.00000000000000,509.00000000000000,484.00000000000000,3.8381742738589213
redFont,"Jan 26, 2025",1737849600,2025-01-26T00:00:00Z,482.00,484.50,497.50,477.75,1.26M,1255889,-0.92,482.00000000000000,484.50000000000000,497.50000000000000,477.75000000000000,-0.9249743062692704
greenFont,"Jan 19, 2025",1737244800,2025-01-19T00:00:00Z,486.50,484.25,494.50,480.50,1.02M,1019152,0.46,486.50000000000000,484.25000000000000,494.50000000000000,480.50000000000000,0.4646360351058338
greenFont,"Jan 12, 2025",1736640000,2025-01-12T00:00:00Z,484.25,469.75,485.00,469.25,1.39M,1387871,2.92,484.25000000000000,469.75000000000000,485.00000000000000,469.25000000000000,2.922422954303932
greenFont,"Jan 05, 2025",1736035200,2025-01-05T00:00:00Z,470.50,451.50,472.50,451.50,1.26M,1256418,4.38,470.50000000000000,451.50000000000000,472.50000000000000,451.50000000000000,4.381586245146977
redFont,"Dec 29, 2024",1735430400,2024-12-29T00:00:00Z,450.75,457.25,459.75,449.25,362.79K,362789,-0.72,450.75000000000000,457.25000000000000,459.75000000000000,449.25000000000000,-0.7158590308370044
greenFont,"Dec 22, 2024",1734825600,2024-12-22T00:00:00Z,454.00,446.00,455.00,445.25,559.22K,559220,1.74,454.00000000000000,446.00000000000000,455.00000000000000,445.25000000000000,1.7366946778711485
greenFont,"Dec 15, 2024",1734220800,2024-12-15T00:00:00Z,446.25,441.25,447.50,435.75,871.70K,871702,3.78,446.25000000000000,441.25000000000000,447.50000000000000,435.75000000000000,3.7790697674418605
redFont,"Dec 08, 2024",1733616000,2024-12-08T00:00:00Z,430.00,431.25,443.25,426.25,4.19K,4192,-0.17,430.00000000000000,431.25000000000000,443.25000000000000,426.25000000000000,-0.17411491584445735
greenFont,"Dec 01, 2024",1733011200,2024-12-01T00:00:00Z,430.75,423.00,431.50,420.25,13.65K,13647,1.83,430.75000000000000,423.00000000000000,431.50000000000000,420.25000000000000,1.8321513002364067
redFont,"Nov 24, 2024",1732406400,2024-11-24T00:00:00Z,423.00,425.25,426.25,414.75,589.42K,589422,-2.81,423.00000000000000,425.25000000000000,426.25000000000000,414.75000000000000,-2.8144744399770247
redFont,"Nov 17, 2024",1731801600,2024-11-17T00:00:00Z,435.25,434.75,442.25,433.00,859.16K,859161,0.00,435.25000000000000,434.75000000000000,442.25000000000000,433.00000000000000,0
redFont,"Nov 10, 2024",1731196800,2024-11-10T00:00:00Z,435.25,444.00,445.50,429.00,851.74K,851741,-2.03,435.25000000000000,444.00000000000000,445.50000000000000,429.00000000000000,-2.0258863252673045
greenFont,"Nov 03, 2024",1730592000,2024-11-03T00:00:00Z,444.25,428.25,447.75,427.00,726.73K,726726,7.18,444.25000000000000,428.25000000000000,447.75000000000000,427.00000000000000,7.177322074788902
redFont,"Oct 27, 2024",1729987200,2024-10-27T00:00:00Z,414.50,413.25,415.75,409.25,1.06M,1055102,-0.18,414.50000000000000,413.25000000000000,415.75000000000000,409.25000000000000,-0.1806140878988561
greenFont,"Oct 20, 2024",1729382400,2024-10-20T00:00:00Z,415.25,403.75,424.00,403.00,1.29M,1290585,2.59,415.25000000000000,403.75000000000000,424.00000000000000,403.00000000000000,2.5941939468807904
redFont,"Oct 13, 2024",1728777600,2024-10-13T00:00:00Z,404.75,415.00,415.25,399.00,1.23M,1226490,-2.65,404.75000000000000,415.00000000000000,415.25000000000000,399.00000000000000,-2.6458208057726997
redFont,"Oct 06, 2024",1728172800,2024-10-06T00:00:00Z,415.75,424.00,428.00,415.25,935.34K,935342,-2.12,415.75000000000000,424.00000000000000,428.00000000000000,415.25000000000000,-2.1188934667451442
greenFont,"Sep 29, 2024",1727568000,2024-09-29T00:00:00Z,424.75,416.50,434.25,415.50,1.12M,1122115,1.61,424.75000000000000,416.50000000000000,434.25000000000000,415.50000000000000,1.6148325358851674
greenFont,"Sep 22, 2024",1726963200,2024-09-22T00:00:00Z,418.00,401.50,419.75,401.25,1.02M,1020975,4.04,418.00000000000000,401.50000000000000,419.75000000000000,401.25000000000000,4.044803982576229
greenFont,"Sep 15, 2024",1726358400,2024-09-15T00:00:00Z,401.75,413.00,415.00,401.50,753.87K,753870,2.82,401.75000000000000,413.00000000000000,415.00000000000000,401.50000000000000,2.815099168266155
greenFont,"Sep 08, 2024",1725753600,2024-09-08T00:00:00Z,390.75,383.75,394.00,377.00,0.96K,957,1.82,390.75000000000000,383.75000000000000,394.00000000000000,377.00000000000000,1.8241042345276872
greenFont,"Sep 01, 2024",1725148800,2024-09-01T00:00:00Z,383.75,378.00,395.25,376.50,5.53K,5525,1.52,383.75000000000000,378.00000000000000,395.25000000000000,376.50000000000000,1.5211640211640212
redFont,"Aug 25, 2024",1724544000,2024-08-25T00:00:00Z,378.00,367.25,378.75,360.50,572.91K,572914,-3.32,378.00000000000000,367.25000000000000,378.75000000000000,360.50000000000000,-3.3248081841432224
redFont,"Aug 18, 2024",1723939200,2024-08-18T00:00:00Z,391.00,392.00,401.00,390.75,885.19K,885194,-0.38,391.00000000000000,392.00000000000000,401.00000000000000,390.75000000000000,-0.3821656050955414
redFont,"Aug 11, 2024",1723334400,2024-08-11T00:00:00Z,392.50,394.75,403.75,390.00,1.12M,1116107,-0.63,392.50000000000000,394.75000000000000,403.75000000000000,390.00000000000000,-0.6329113924050633
redFont,"Aug 04, 2024",1722729600,2024-08-04T00:00:00Z,395.00,402.25,409.00,393.50,882.20K,882199,-2.05,395.00000000000000,402.25000000000000,409.00000000000000,393.50000000000000,-2.045877247365158
redFont,"Jul 28, 2024",1722124800,2024-07-28T00:00:00Z,403.25,407.50,413.00,395.00,816.64K,816637,-1.65,403.25000000000000,407.50000000000000,413.00000000000000,395.00000000000000,-1.646341463414634
greenFont,"Jul 21, 2024",1721520000,2024-07-21T00:00:00Z,410.00,405.25,423.75,405.25,830.20K,830197,1.30,410.00000000000000,405.25000000000000,423.75000000000000,405.25000000000000,1.2970969734403952
greenFont,"Jul 14, 2024",1720915200,2024-07-14T00:00:00Z,404.75,416.00,416.00,403.25,689.05K,689054,0.68,404.75000000000000,416.00000000000000,416.00000000000000,403.25000000000000,0.6840796019900498
redFont,"Jul 07, 2024",1720310400,2024-07-07T00:00:00Z,402.00,409.50,410.00,390.75,972.91K,972909,-2.07,402.00000000000000,409.50000000000000,410.00000000000000,390.75000000000000,-2.0706455542021924
greenFont,"Jun 30, 2024",1719705600,2024-06-30T00:00:00Z,410.50,407.50,413.75,401.00,481.54K,481541,0.74,410.50000000000000,407.50000000000000,413.75000000000000,401.00000000000000,0.7361963190184049
redFont,"Jun 23, 2024",1719100800,2024-06-23T00:00:00Z,407.50,441.00,442.00,399.50,1.15M,1146966,-7.49,407.50000000000000,441.00000000000000,442.00000000000000,399.50000000000000,-7.491486946651532
redFont,"Jun 16, 2024",1718496000,2024-06-16T00:00:00Z,440.50,455.25,457.25,440.25,505.13K,505125,-3.61,440.50000000000000,455.25000000000000,457.25000000000000,440.25000000000000,-3.6105032822757113
greenFont,"Jun 09, 2024",1717891200,2024-06-09T00:00:00Z,457.00,454.75,465.25,450.75,735.32K,735319,0.49,457.00000000000000,454.75000000000000,465.25000000000000,450.75000000000000,0.4947773501924134
greenFont,"Jun 02, 2024",1717286400,2024-06-02T00:00:00Z,454.75,453.00,460.00,445.00,496.46K,496462,1.90,454.75000000000000,453.00000000000000,460.00000000000000,445.00000000000000,1.9047619047619047
redFont,"May 26, 2024",1716681600,2024-05-26T00:00:00Z,446.25,467.00,471.00,445.50,732.48K,732483,-3.98,446.25000000000000,467.00000000000000,471.00000000000000,445.50000000000000,-3.9806347498655192
greenFont,"May 19, 2024",1716076800,2024-05-19T00:00:00Z,464.75,452.75,467.25,452.25,865.10K,865100,2.71,464.75000000000000,452.75000000000000,467.25000000000000,452.25000000000000,2.707182320441989
redFont,"May 12, 2024",1715472000,2024-05-12T00:00:00Z,452.50,453.50,473.25,451.00,641.06K,641059,-0.71,452.50000000000000,453.50000000000000,473.25000000000000,451.00000000000000,-0.7131102578167855
greenFont,"May 05, 2024",1714867200,2024-05-05T00:00:00Z,455.75,447.00,459.50,441.00,4.45K,4451,1.96,455.75000000000000,447.00000000000000,459.50000000000000,441.00000000000000,1.9574944071588367
greenFont,"Apr 28, 2024",1714262400,2024-04-28T00:00:00Z,447.00,440.00,458.50,435.00,141.70K,141697,1.59,447.00000000000000,440.00000000000000,458.50000000000000,435.00000000000000,1.5909090909090908
redFont,"Apr 21, 2024",1713657600,2024-04-21T00:00:00Z,440.00,432.25,444.50,431.00,831.38K,831377,-0.68,440.00000000000000,432.25000000000000,444.50000000000000,431.00000000000000,-0.6772009029345373
redFont,"Apr 14, 2024",1713052800,2024-04-14T00:00:00Z,443.00,446.00,447.00,435.75,669.74K,669742,-0.95,443.00000000000000,446.00000000000000,447.00000000000000,435.75000000000000,-0.9502515371716043
greenFont,"Apr 07, 2024",1712448000,2024-04-07T00:00:00Z,447.25,446.00,449.50,439.50,838.51K,838506,2.99,447.25000000000000,446.00000000000000,449.50000000000000,439.50000000000000,2.9936672423719055
redFont,"Mar 31, 2024",1711843200,2024-03-31T00:00:00Z,434.25,441.75,442.00,424.50,970.41K,970413,-1.75,434.25000000000000,441.75000000000000,442.00000000000000,424.50000000000000,-1.753393665158371
greenFont,"Mar 24, 2024",1711238400,2024-03-24T00:00:00Z,442.00,439.00,448.00,426.00,799.19K,799192,0.63,442.00000000000000,439.00000000000000,448.00000000000000,426.00000000000000,0.6260671599317018
greenFont,"Mar 17, 2024",1710633600,2024-03-17T00:00:00Z,439.25,437.00,445.75,434.00,660.60K,660595,0.57,439.25000000000000,437.00000000000000,445.75000000000000,434.00000000000000,0.5724098454493417
greenFont,"Mar 10, 2024",1710028800,2024-03-10T00:00:00Z,436.75,421.75,440.00,419.75,141.51K,141509,2.46,436.75000000000000,421.75000000000000,440.00000000000000,419.75000000000000,2.463343108504399
